# seg	start	stop	duration
673	1383737316	1383737321	5.0
674	1383737381	1383737386	5.0
675	1383737446	1383737451	5.0
676	1383737511	1383737516	5.0
677	1383737576	1383737581	5.0
678	1383737641	1383737646	5.0
679	1383737706	1383737711	5.0
680	1383737771	1383737776	5.0
681	1383737836	1383737841	5.0
682	1383737901	1383737906	5.0
683	1383737966	1383737971	5.0
684	1383738031	1383738036	5.0
685	1383738096	1383738101	5.0
686	1383738161	1383738166	5.0
687	1383738226	1383738231	5.0
688	1383738291	1383738296	5.0
689	1383738356	1383738361	5.0
690	1383738421	1383738426	5.0
691	1383738486	1383738491	5.0
692	1383738551	1383738556	5.0
693	1383738616	1383738621	5.0
694	1383738681	1383738686	5.0
695	1383738746	1383738751	5.0
696	1383738811	1383738816	5.0
697	1383738876	1383738881	5.0
698	1383738941	1383738946	5.0
699	1383739006	1383739011	5.0
700	1383739071	1383739076	5.0
701	1383739136	1383739141	5.0
702	1383739201	1383739206	5.0
703	1383739266	1383739271	5.0
704	1383739331	1383739336	5.0
705	1383739396	1383739401	5.0
706	1383739461	1383739466	5.0
707	1383739526	1383739531	5.0
708	1383739591	1383739596	5.0
709	1383739656	1383739661	5.0
710	1383739721	1383739726	5.0
711	1383739786	1383739791	5.0
712	1383739851	1383739856	5.0
713	1383739916	1383739921	5.0
714	1383739981	1383739986	5.0
715	1383740046	1383740051	5.0
716	1383740111	1383740116	5.0
717	1383740176	1383740181	5.0
718	1383740241	1383740246	5.0
719	1383740306	1383740311	5.0
720	1383740371	1383740376	5.0
721	1383740436	1383740441	5.0
722	1383740501	1383740506	5.0
723	1383740566	1383740571	5.0
724	1383740631	1383740636	5.0
725	1383740696	1383740701	5.0
726	1383740761	1383740766	5.0
727	1383740826	1383740831	5.0
728	1383740891	1383740896	5.0
729	1383740956	1383740961	5.0
730	1383741021	1383741026	5.0
731	1383741086	1383741091	5.0
732	1383741151	1383741156	5.0
733	1383741216	1383741221	5.0
734	1383741281	1383741286	5.0
735	1383741346	1383741351	5.0
736	1383741411	1383741416	5.0
737	1383741476	1383741481	5.0
738	1383741541	1383741546	5.0
739	1383741606	1383741611	5.0
740	1383741671	1383741676	5.0
741	1383741736	1383741741	5.0
742	1383741801	1383741806	5.0
743	1383741866	1383741871	5.0
744	1383741931	1383741936	5.0
745	1383741996	1383742001	5.0
746	1383742061	1383742066	5.0
747	1383742126	1383742131	5.0
748	1383742191	1383742196	5.0
749	1383742256	1383742261	5.0
750	1383742321	1383742326	5.0
751	1383742386	1383742391	5.0
752	1383751409	1383761619	10210.0
753	1383761770	1383775548	13778.0
754	1383778136	1383782119	3983.0
755	1383784477	1383786324	1847.0
756	1383798686	1383807877	9191.0
757	1383808132	1383826917	18785.0
758	1383827215	1383868071	40856.0
759	1383868867	1383926313	57446.0
760	1383936937	1383944997	8060.0
761	1383945581	1383983342	37761.0
762	1383994721	1383999253	4532.0
763	1383999384	1384009278	9894.0
764	1384219988	1384224545	4557.0
765	1384228911	1384245159	16248.0
766	1384257182	1384290050	32868.0
767	1384300357	1384338014	37657.0
768	1384366811	1384379985	13174.0
769	1384397334	1384438455	41121.0
770	1384462885	1384465897	3012.0
771	1384472334	1384474542	2208.0
772	1384474554	1384495176	20622.0
773	1384502733	1384518855	16122.0
774	1384551580	1384576126	24546.0
775	1384740952	1384755887	14935.0
776	1384756008	1384769396	13388.0
777	1384773602	1384797851	24249.0
778	1384798312	1384807963	9651.0
779	1384808111	1384837109	28998.0
780	1384837252	1384852661	15409.0
781	1384870405	1384870519	114.0
782	1384882126	1384889697	7571.0
783	1384897148	1384917290	20142.0
784	1384923142	1384964332	41190.0
785	1384964352	1384969635	5283.0
786	1384977238	1384979660	2422.0
787	1384986679	1385054773	68094.0
788	1385060905	1385089508	28603.0
789	1385089746	1385102627	12881.0
790	1385112257	1385142228	29971.0
791	1385142513	1385158414	15901.0
792	1385173576	1385180776	7200.0
793	1385183628	1385188298	4670.0
794	1385194584	1385202549	7965.0
795	1385209353	1385218821	9468.0
796	1385252542	1385257159	4617.0
797	1385262136	1385267162	5026.0
798	1385273785	1385284831	11046.0
799	1385605500	1385606105	605.0
800	1385611135	1385611955	820.0
801	1385618007	1385618243	236.0
802	1385621701	1385622558	857.0
803	1385686375	1385719838	33463.0
804	1385726018	1385748971	22953.0
805	1385758559	1385767762	9203.0
806	1385767777	1385798830	31053.0
807	1385804520	1385821944	17424.0
808	1385852833	1385858752	5919.0
809	1385858844	1385883691	24847.0
810	1385888321	1385925638	37317.0
811	1385939952	1385984308	44356.0
812	1386395900	1386400538	4638.0
813	1386457398	1386462491	5093.0
814	1386462564	1386508540	45976.0
815	1386552400	1386553324	924.0
816	1386553331	1386553335	4.0
817	1386553342	1386553346	4.0
818	1386553353	1386553356	3.0
819	1386553364	1386553367	3.0
820	1386553375	1386553378	3.0
821	1386553386	1386553389	3.0
822	1386553397	1386553400	3.0
823	1386553407	1386553411	4.0
824	1386553418	1386553421	3.0
825	1386553429	1386553432	3.0
826	1386553440	1386553443	3.0
827	1386553451	1386553454	3.0
828	1386553462	1386553465	3.0
829	1386553473	1386553476	3.0
830	1386553483	1386553487	4.0
831	1386553494	1386553497	3.0
832	1386553505	1386553508	3.0
